iter	Passed	Remaining
265	2599	7172
266	2608	7162
267	2618	7152
268	2627	7141
269	2637	7131
270	2647	7121
271	2656	7110
272	2666	7100
273	2675	7090
274	2685	7080
275	2695	7071
276	2704	7059
277	2713	7048
278	2724	7039
279	2732	7027
280	2742	7017
281	2751	7005
282	2760	6994
283	2770	6985
284	2780	6975
285	2790	6966
286	2800	6956
287	2809	6946
288	2820	6937
289	2829	6928
290	2839	6919
291	2849	6910
292	2860	6901
293	2870	6892
294	2880	6883
295	2890	6873
296	2899	6862
297	2909	6853
298	2919	6843
299	2928	6833
300	2938	6823
301	2948	6814
302	2957	6804
303	2967	6793
304	2976	6783
305	2986	6774
306	2996	6765
307	3006	6755
308	3016	6746
309	3027	6738
310	3036	6728
311	3047	6719
312	3057	6710
313	3067	6701
314	3076	6690
315	3087	6682
316	3097	6672
317	3106	6662
318	3116	6653
319	3126	6643
320	3136	6634
321	3146	6625
322	3156	6615
323	3165	6605
324	3175	6595
325	3185	6585
326	3197	6580
327	3207	6571
328	3217	6561
329	3226	6551
330	3236	6542
331	3247	6534
332	3257	6524
333	3267	6515
334	3277	6506
335	3287	6495
336	3296	6486
337	3306	6476
338	3316	6467
339	3327	6458
340	3336	6448
341	3346	6438
342	3356	6429
343	3365	6418
344	3375	6408
345	3384	6397
346	3394	6387
347	3404	6378
348	3413	6368
349	3423	6358
350	3434	6350
351	3443	6339
352	3454	6330
353	3463	6321
354	3473	6311
355	3483	6301
356	3493	6292
357	3503	6282
358	3512	6272
359	3522	6262
360	3532	6252
361	3542	6243
362	3552	6233
363	3562	6224
364	3572	6214
365	3582	6205
366	3591	6195
367	3601	6184
368	3611	6175
369	3621	6165
370	3630	6154
371	3640	6145
372	3649	6135
373	3659	6126
374	3669	6115
375	3679	6106
376	3689	6096
377	3698	6086
378	3709	6077
379	3719	6067
380	3729	6058
381	3738	6048
382	3748	6038
383	3759	6030
384	3768	6019
385	3777	6009
386	3787	5999
387	3796	5989
388	3806	5979
389	3817	5970
390	3826	5960
391	3836	5950
392	3846	5940
393	3856	5931
394	3866	5921
395	3876	5912
396	3885	5901
397	3895	5891
398	3904	5881
399	3914	5871
400	3922	5859
401	3932	5849
402	3941	5839
403	3951	5829
404	3961	5819
405	3970	5809
406	3980	5799
407	3989	5788
408	3999	5778
409	4008	5769
410	4019	5759
411	4028	5749
412	4038	5740
413	4049	5732
414	4059	5722
415	4069	5712
416	4080	5704
417	4090	5694
418	4099	5684
419	4109	5675
420	4119	5665
421	4128	5655
422	4138	5645
423	4148	5635
424	4158	5626
425	4168	5616
426	4177	5606
427	4187	5596
428	4197	5586
429	4208	5578
430	4218	5568
431	4228	5559
432	4237	5548
433	4246	5538
434	4256	5528
435	4266	5518
436	4276	5509
437	4285	5499
438	4295	5489
439	4305	5479
440	4314	5469
441	4323	5458
442	4333	5448
443	4342	5437
444	4351	5427
445	4361	5417
446	4370	5407
447	4380	5396
448	4389	5387
449	4399	5377
450	4409	5367
451	4419	5358
452	4428	5347
453	4438	5337
454	4448	5327
455	4457	5317
456	4466	5307
457	4475	5296
458	4484	5285
459	4494	5275
460	4503	5265
461	4512	5254
462	4522	5244
463	4531	5235
464	4541	5224
465	4550	5214
466	4560	5204
467	4569	5194
468	4579	5184
469	4588	5174
470	4597	5163
471	4606	5153
472	4615	5142
473	4626	5133
474	4636	5124
475	4645	5114
476	4655	5104
477	4665	5094
478	4674	5084
479	4683	5074
480	4692	5063
481	4702	5053
482	4712	5043
483	4722	5034
484	4732	5024
485	4742	5015
486	4751	5005
487	4761	4995
488	4770	4985
489	4779	4974
490	4789	4965
491	4799	4955
492	4809	4946
493	4818	4935
494	4828	4926
495	4837	4915
496	4847	4905
497	4857	4896
498	4867	4886
499	4876	4876
500	4886	4867
501	4895	4856
502	4905	4846
503	4914	4836
504	4924	4827
505	4934	4817
506	4945	4808
507	4954	4798
508	4964	4789
509	4975	4780
510	4985	4770
511	4994	4760
512	5004	4750
513	5014	4741
514	5023	4731
515	5034	4721
516	5044	4712
517	5055	4703
518	5064	4694
519	5074	4684
520	5084	4674
521	5094	4665
522	5104	4655
523	5115	4646
524	5124	4636
525	5134	4626
526	5142	4615
527	5152	4606
528	5162	4596
529	5172	4586
530	5182	4577
531	5193	4568
532	5202	4558
533	5212	4549
534	5222	4539
535	5232	4529
536	5242	4519
537	5251	4510
538	5261	4500
539	5271	4490
540	5281	4481
541	5291	4471
542	5301	4462
543	5311	4452
544	5320	4442
545	5331	4432
546	5340	4422
547	5349	4412
548	5359	4402
549	5369	4393
550	5378	4383
551	5389	4374
552	5399	4364
553	5408	4354
554	5419	4345
555	5429	4335
556	5438	4325
557	5448	4315
558	5457	4305
559	5468	4296
560	5478	4286
561	5488	4277
562	5498	4267
563	5508	4258
564	5517	4248
565	5527	4238
566	5536	4228
567	5546	4218
568	5556	4208
569	5566	4199
570	5575	4189
571	5585	4179
572	5595	4169
573	5605	4160
574	5616	4151
575	5626	4141
576	5637	4132
577	5646	4122
578	5656	4113
579	5666	4103
580	5676	4093
581	5686	4083
582	5696	4074
583	5706	4064
584	5716	4055
585	5726	4045
586	5736	4036
587	5746	4026
588	5756	4016
589	5765	4006
590	5776	3997
591	5787	3988
592	5797	3979
593	5808	3970
594	5818	3960
595	5829	3951
596	5839	3942
597	5850	3932
598	5860	3923
599	5870	3913
600	5881	3904
601	5891	3894
602	5901	3885
603	5912	3876
604	5922	3866
605	5932	3857
606	5942	3847
607	5952	3837
608	5962	3827
609	5972	3818
610	5981	3808
611	5992	3798
612	6001	3788
613	6011	3779
614	6021	3769
615	6031	3760
616	6042	3750
617	6052	3741
618	6063	3732
619	6072	3722
620	6082	3712
621	6092	3702
622	6102	3692
623	6112	3682
624	6121	3672
625	6131	3663
626	6141	3653
627	6151	3643
628	6161	3634
629	6171	3624
630	6180	3614
631	6190	3604
632	6200	3594
633	6210	3585
634	6219	3575
635	6229	3565
636	6239	3555
637	6249	3546
638	6260	3536
639	6269	3526
640	6280	3517
641	6290	3507
642	6299	3497
643	6309	3487
644	6318	3477
645	6328	3467
646	6337	3457
647	6346	3447
648	6356	3438
649	6366	3428
650	6375	3417
651	6385	3408
652	6394	3398
653	6404	3388
654	6413	3378
655	6423	3368
656	6432	3358
657	6442	3348
658	6452	3338
659	6461	3328
660	6471	3318
661	6481	3309
662	6490	3299
663	6500	3289
664	6510	3279
665	6520	3269
666	6529	3259
667	6539	3250
668	6548	3240
669	6558	3230
670	6567	3220
671	6576	3210
672	6586	3200
673	6596	3190
674	6606	3180
675	6615	3170
676	6624	3160
677	6634	3150
678	6643	3140
679	6652	3130
680	6662	3120
681	6672	3111
682	6681	3101
683	6691	3091
684	6701	3081
685	6710	3071
686	6721	3062
687	6731	3052
688	6741	3042
689	6750	3032
690	6759	3022
691	6769	3012
692	6779	3003
693	6788	2993
694	6798	2983
695	6808	2974
696	6818	2964
697	6828	2954
698	6837	2944
699	6847	2934
700	6856	2924
701	6866	2914
702	6875	2904
703	6885	2895
704	6895	2885
705	6906	2875
706	6915	2866
707	6925	2856
708	6935	2846
709	6945	2836
710	6955	2827
711	6965	2817
712	6974	2807
713	6984	2797
714	6993	2787
715	7003	2777
716	7014	2768
717	7024	2758
718	7034	2749
719	7045	2739
720	7054	2729
721	7064	2720
722	7074	2710
723	7083	2700
724	7092	2690
725	7102	2680
726	7112	2670
727	7121	2660
728	7131	2651
729	7141	2641
730	7151	2631
731	7161	2621
732	7171	2612
733	7181	2602
734	7191	2592
735	7201	2583
736	7211	2573
737	7221	2563
738	7231	2553
739	7241	2544
740	7251	2534
741	7261	2524
742	7271	2515
743	7281	2505
744	7291	2495
745	7301	2486
746	7312	2476
747	7322	2466
748	7331	2456
749	7341	2447
750	7350	2437
751	7361	2427
752	7370	2417
753	7380	2408
754	7390	2398
755	7400	2388
756	7410	2378
757	7419	2368
758	7429	2358
759	7439	2349
760	7449	2339
761	7458	2329
762	7469	2319
763	7479	2310
764	7489	2300
765	7499	2290
766	7509	2281
767	7519	2271
768	7529	2261
769	7539	2252
770	7548	2242
771	7558	2232
772	7567	2222
773	7577	2212
774	7587	2202
775	7597	2193
776	7607	2183
777	7617	2173
778	7627	2163
779	7637	2154
780	7647	2144
781	7657	2134
782	7666	2124
783	7676	2114
784	7685	2105
785	7695	2095
786	7705	2085
787	7715	2075
788	7725	2065
789	7735	2056
790	7745	2046
791	7755	2036
792	7764	2026
793	7774	2017
794	7785	2007
795	7795	1997
796	7805	1988
797	7815	1978
798	7824	1968
799	7834	1958
800	7843	1948
801	7853	1938
802	7863	1929
803	7872	1919
804	7882	1909
805	7891	1899
806	7901	1889
807	7912	1880
808	7921	1870
809	7931	1860
810	7942	1850
811	7951	1841
812	7961	1831
813	7971	1821
814	7980	1811
815	7990	1801
816	8001	1792
817	8011	1782
818	8022	1772
819	8032	1763
820	8042	1753
821	8052	1743
822	8062	1733
823	8071	1724
824	8081	1714
825	8091	1704
826	8101	1694
827	8110	1684
828	8120	1675
829	8130	1665
830	8140	1655
831	8149	1645
832	8159	1635
833	8168	1625
834	8178	1616
835	8188	1606
836	8198	1596
837	8208	1586
838	8218	1577
839	8227	1567
840	8237	1557
841	8247	1547
842	8258	1538
843	8268	1528
844	8277	1518
845	8286	1508
846	8296	1498
847	8305	1488
848	8315	1479
849	8326	1469
850	8336	1459
851	8347	1450
852	8357	1440
853	8368	1430
854	8377	1420
855	8387	1410
856	8396	1401
857	8406	1391
858	8416	1381
859	8425	1371
860	8435	1361
861	8444	1351
862	8453	1341
863	8463	1332
864	8472	1322
865	8482	1312
866	8491	1302
867	8501	1292
868	8510	1282
869	8520	1273
870	8529	1263
871	8539	1253
872	8548	1243
873	8558	1233
874	8567	1223
875	8577	1214
876	8586	1204
877	8595	1194
878	8605	1184
879	8614	1174
880	8623	1164
881	8633	1154
882	8642	1145
883	8651	1135
884	8662	1125
885	8672	1115
886	8682	1106
887	8691	1096
888	8701	1086
889	8711	1076
890	8721	1066
891	8732	1057
892	8742	1047
893	8751	1037
894	8761	1027
895	8772	1018
896	8782	1008
897	8792	998
898	8802	988
899	8812	979
900	8822	969
901	8831	959
902	8841	949
903	8851	939
904	8861	930
905	8870	920
906	8880	910
907	8889	900
908	8899	890
909	8910	881
910	8919	871
911	8929	861
912	8939	851
913	8949	842
914	8958	832
915	8968	822
916	8977	812
917	8987	802
918	8997	793
919	9007	783
920	9017	773
921	9026	763
922	9037	753
923	9047	744
924	9056	734
925	9066	724
926	9075	714
927	9085	704
928	9095	695
929	9105	685
930	9114	675
931	9124	665
932	9134	655
933	9143	646
934	9153	636
935	9164	626
936	9173	616
937	9183	606
938	9192	597
939	9202	587
940	9211	577
941	9221	567
942	9231	557
943	9241	548
944	9251	538
945	9261	528
946	9271	518
947	9281	509
948	9290	499
949	9300	489
950	9309	479
951	9319	469
952	9328	460
953	9338	450
954	9348	440
955	9358	430
956	9368	420
957	9379	411
958	9388	401
959	9398	391
960	9408	381
961	9417	372
962	9427	362
963	9437	352
964	9447	342
965	9456	332
966	9467	323
967	9477	313
968	9487	303
969	9498	293
970	9508	283
971	9517	274
972	9528	264
973	9537	254
974	9547	244
975	9557	235
976	9567	225
977	9576	215
978	9586	205
979	9597	195
980	9607	186
981	9617	176
982	9626	166
983	9636	156
984	9645	146
985	9655	137
986	9665	127
987	9675	117
988	9685	107
989	9695	97
990	9705	88
991	9714	78
992	9724	68
993	9734	58
994	9743	48
995	9753	39
996	9764	29
997	9774	19
998	9784	9
999	9794	0
