iter	Logloss
0	0.6172337107
1	0.5557042158
2	0.5016097885
3	0.4553737225
4	0.4194730824
5	0.3876466171
6	0.3593912684
7	0.3366272332
8	0.3161170535
9	0.3001937446
10	0.2861549669
11	0.2746719797
12	0.2645915478
13	0.2552017373
14	0.2464897185
15	0.2404195072
16	0.2347385534
17	0.2294173746
18	0.2248985111
19	0.220754838
20	0.2172738441
21	0.2138012462
22	0.2109046958
23	0.2088134625
24	0.2067522986
25	0.2047060814
26	0.2028878798
27	0.201224054
28	0.1999296433
29	0.1981332047
30	0.1970285127
31	0.1955507229
32	0.1943604905
33	0.1933661688
34	0.1920868649
35	0.1911315451
36	0.1901002043
37	0.1891788462
38	0.1882117213
39	0.187661637
40	0.1868003648
41	0.1861628211
42	0.1855741519
43	0.1850427343
44	0.1847203085
45	0.1841457873
46	0.1830341633
47	0.1824937843
48	0.1821091592
49	0.1816242771
50	0.1811801562
51	0.1806385507
52	0.1798100832
53	0.179540579
54	0.1791338461
55	0.178697007
56	0.1781103662
57	0.1778957043
58	0.1773740178
59	0.17700836
60	0.1765753536
61	0.1763007534
62	0.1761514502
63	0.1757004222
64	0.1754413574
65	0.1751954844
66	0.1750507414
67	0.1747783851
68	0.1743582751
69	0.1741241504
70	0.1738331336
71	0.1734560078
72	0.1730391297
73	0.1728238375
74	0.1726053365
75	0.1723954404
76	0.1720753988
77	0.1718960419
78	0.171617901
79	0.1711923309
80	0.1710991824
81	0.1707491294
82	0.1705852414
83	0.170431233
84	0.1702800594
85	0.1701563035
86	0.1699493619
87	0.1696566433
88	0.1695456838
89	0.1693503528
90	0.1688846928
91	0.1687292099
92	0.1684412424
93	0.1680484709
94	0.1679407284
95	0.1677254109
96	0.1675298734
97	0.1672327613
98	0.1670605975
99	0.16694543
100	0.166820502
101	0.1665045989
102	0.1662250846
103	0.1659270251
104	0.1657096592
105	0.1655569693
106	0.1654786686
107	0.1652235443
108	0.1650789522
109	0.1647971773
110	0.1645613294
111	0.1644688971
112	0.16440005
113	0.1641707238
114	0.1640361096
115	0.1638272899
116	0.1636435959
117	0.1635702683
118	0.1634970495
119	0.1634385624
120	0.1633297201
121	0.1632531368
122	0.1631506933
123	0.1630612689
124	0.1629420755
125	0.162857769
126	0.1627962151
127	0.1627077983
128	0.1626172412
129	0.1625176282
130	0.1624535946
131	0.1622267521
132	0.1620728735
133	0.1619401182
134	0.1617770213
135	0.1616984612
136	0.1615022158
137	0.161457475
138	0.161354043
139	0.1612204152
140	0.1610795159
141	0.1610080396
142	0.1608138661
143	0.1607776823
144	0.1606572002
145	0.1604513778
146	0.1603641273
147	0.1603072351
148	0.1601907249
149	0.1599599234
150	0.159908663
151	0.1598449922
152	0.1597459132
153	0.1595558629
154	0.159424513
155	0.1592747736
156	0.1592379419
157	0.159126804
158	0.1590198444
159	0.1589089609
160	0.1587370884
161	0.1586256937
162	0.1585177742
163	0.1584320762
164	0.1583797909
165	0.1582537885
166	0.1581824384
167	0.1581067535
168	0.1579934537
169	0.1578905951
170	0.157828697
171	0.1576769448
172	0.1575180261
173	0.1572958589
174	0.1571364767
175	0.1570419895
176	0.1569751866
177	0.1569090127
178	0.1568094456
179	0.1566667258
180	0.1565220558
181	0.1563954726
182	0.1563012179
183	0.1561714068
184	0.1560234908
185	0.1559150039
186	0.1558342505
187	0.1557365678
188	0.1556342671
189	0.1555696407
190	0.1554948627
191	0.1554567463
192	0.1553705906
193	0.1552770514
194	0.1552020997
195	0.1550350987
196	0.1549465038
197	0.1548927637
198	0.1548057699
199	0.1547682906
200	0.154718959
201	0.154633157
202	0.1545526146
203	0.154483871
204	0.154421149
205	0.1543236495
206	0.1542647788
207	0.1541159157
208	0.1540006805
209	0.1538977012
210	0.1538051612
211	0.1537315978
212	0.1535937658
213	0.1534981253
214	0.1533002024
215	0.1532238706
216	0.1531604996
217	0.1531108882
218	0.1530734084
219	0.1529231625
220	0.1528272055
221	0.1526172409
222	0.1524302728
223	0.1523508701
224	0.1522707295
225	0.1521670245
226	0.1520018076
227	0.151960193
228	0.1519148499
229	0.1518511659
230	0.1517959129
231	0.1516466721
232	0.1515750984
233	0.1514808601
234	0.151360323
235	0.151290729
236	0.1512174037
237	0.151149726
238	0.1511031446
239	0.150992686
240	0.1509196375
241	0.1508435971
242	0.1507522494
243	0.1506869936
244	0.1505777495
245	0.1503747635
246	0.15023931
247	0.1501787963
248	0.1501324243
249	0.1500714145
250	0.1499370418
251	0.1498659322
252	0.1497027892
253	0.1496331862
254	0.1495561442
255	0.1495149498
256	0.1494473884
257	0.1493031272
258	0.1491979709
259	0.1490984752
260	0.1489595064
261	0.1489303842
262	0.148847501
263	0.1487319517
264	0.1486108839
265	0.1485705229
266	0.1485111196
267	0.1484531
268	0.1483951871
269	0.1483281613
270	0.148283252
271	0.1482334802
272	0.1481928385
273	0.1481173974
274	0.1479963866
275	0.14794994
276	0.1478080084
277	0.1477019913
278	0.1476495024
279	0.1475491269
280	0.147442491
281	0.1473053518
282	0.1471807117
283	0.147088559
284	0.1470357038
285	0.1469821011
286	0.1469258762
287	0.1468371164
288	0.1467826688
289	0.1467391003
290	0.1466670463
291	0.1465681295
292	0.1465175331
293	0.1464626526
294	0.1463667018
295	0.1463028616
296	0.1462463981
297	0.1460965098
298	0.1460239012
299	0.1459564263
300	0.1458893473
301	0.1458453036
302	0.1457771167
303	0.1457170212
304	0.1455954708
305	0.1455150167
306	0.1454402941
307	0.1453631531
308	0.1453190057
309	0.1452185922
310	0.1451581511
311	0.145013161
312	0.1449374176
313	0.1448622782
314	0.1447181009
315	0.1446414213
316	0.1445697261
317	0.1445146744
